"train/global_step","grpo_vastai_20260220_001219 - train/reward","grpo_vastai_20260220_001219 - train/reward__MIN","grpo_vastai_20260220_001219 - train/reward__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"231","0.30742698907852173","0.30742698907852173","0.30742698907852173","2770","2770","2770"
"232","0.04859185963869095","0.04859185963869095","0.04859185963869095","2782","2782","2782"
"233","1.7946429252624512","1.7946429252624512","1.7946429252624512","2794","2794","2794"
"234","-0.17261902987957","-0.17261902987957","-0.17261902987957","2806","2806","2806"
"235","0.2544642984867096","0.2544642984867096","0.2544642984867096","2818","2818","2818"
"236","-0.110243059694767","-0.110243059694767","-0.110243059694767","2830","2830","2830"
"237","-0.03427651897072792","-0.03427651897072792","-0.03427651897072792","2842","2842","2842"
"238","-0.1266741156578064","-0.1266741156578064","-0.1266741156578064","2854","2854","2854"
"239","-0.030505962669849396","-0.030505962669849396","-0.030505962669849396","2866","2866","2866"
"240","-0.16254578530788422","-0.16254578530788422","-0.16254578530788422","2878","2878","2878"
"241","2.4168527126312256","2.4168527126312256","2.4168527126312256","2890","2890","2890"
"242","-0.20529037714004517","-0.20529037714004517","-0.20529037714004517","2902","2902","2902"
"243","1.9642443656921387","1.9642443656921387","1.9642443656921387","2914","2914","2914"
"244","0.2162698358297348","0.2162698358297348","0.2162698358297348","2926","2926","2926"
"245","-0.04905400425195694","-0.04905400425195694","-0.04905400425195694","2938","2938","2938"
"246","2.5153355598449707","2.5153355598449707","2.5153355598449707","2950","2950","2950"
"247","0.21858586370944977","0.21858586370944977","0.21858586370944977","2962","2962","2962"
"248","0.012987006455659866","0.012987006455659866","0.012987006455659866","2974","2974","2974"
"249","-0.05863667652010918","-0.05863667652010918","-0.05863667652010918","2986","2986","2986"
"250","0.05987394601106644","0.05987394601106644","0.05987394601106644","2998","2998","2998"
"251","0.171875","0.171875","0.171875","3010","3010","3010"
"252","2.026289701461792","2.026289701461792","2.026289701461792","3022","3022","3022"
"253","-0.013995185494422913","-0.013995185494422913","-0.013995185494422913","3034","3034","3034"
"254","0.07787107676267624","0.07787107676267624","0.07787107676267624","3046","3046","3046"
"255","0.40625","0.40625","0.40625","3058","3058","3058"
"256","2.474330425262451","2.474330425262451","2.474330425262451","3070","3070","3070"
"257","2.194568395614624","2.194568395614624","2.194568395614624","3082","3082","3082"
"258","-0.07989457249641418","-0.07989457249641418","-0.07989457249641418","3094","3094","3094"
"259","-0.014719972386956215","-0.014719972386956215","-0.014719972386956215","3106","3106","3106"
"260","-0.11872950196266174","-0.11872950196266174","-0.11872950196266174","3118","3118","3118"
"261","2.2027530670166016","2.2027530670166016","2.2027530670166016","3130","3130","3130"
"262","-0.2273065596818924","-0.2273065596818924","-0.2273065596818924","3142","3142","3142"
"263","-0.14641204476356506","-0.14641204476356506","-0.14641204476356506","3154","3154","3154"
"264","0.13383838534355164","0.13383838534355164","0.13383838534355164","3166","3166","3166"
"265","2.287797689437866","2.287797689437866","2.287797689437866","3178","3178","3178"
"266","0.18820485472679138","0.18820485472679138","0.18820485472679138","3190","3190","3190"
"267","2.0572917461395264","2.0572917461395264","2.0572917461395264","3202","3202","3202"
"268","-0.24899838864803314","-0.24899838864803314","-0.24899838864803314","3214","3214","3214"
"269","0.25152191519737244","0.25152191519737244","0.25152191519737244","3226","3226","3226"
"270","0.37186717987060547","0.37186717987060547","0.37186717987060547","3238","3238","3238"
"271","-0.10234788060188293","-0.10234788060188293","-0.10234788060188293","3250","3250","3250"
"272","-0.03672998398542404","-0.03672998398542404","-0.03672998398542404","3262","3262","3262"
"273","0.259307861328125","0.259307861328125","0.259307861328125","3274","3274","3274"
"274","0.3307095766067505","0.3307095766067505","0.3307095766067505","3286","3286","3286"
"275","0.26124826073646545","0.26124826073646545","0.26124826073646545","3298","3298","3298"
"276","0.3951955735683441","0.3951955735683441","0.3951955735683441","3310","3310","3310"
"277","-0.01288377121090889","-0.01288377121090889","-0.01288377121090889","3322","3322","3322"
"278","-0.23820152878761292","-0.23820152878761292","-0.23820152878761292","3334","3334","3334"
"279","0.07684358954429626","0.07684358954429626","0.07684358954429626","3346","3346","3346"
"280","0.053199395537376404","0.053199395537376404","0.053199395537376404","3358","3358","3358"
"281","2.081101179122925","2.081101179122925","2.081101179122925","3370","3370","3370"
"282","-0.19858631491661072","-0.19858631491661072","-0.19858631491661072","3382","3382","3382"
"283","2.3106398582458496","2.3106398582458496","2.3106398582458496","3394","3394","3394"
"284","0.050903595983982086","0.050903595983982086","0.050903595983982086","3406","3406","3406"
"285","0.009097091853618622","0.009097091853618622","0.009097091853618622","3418","3418","3418"
"286","0.09271283447742462","0.09271283447742462","0.09271283447742462","3430","3430","3430"
"287","-0.029718145728111267","-0.029718145728111267","-0.029718145728111267","3442","3442","3442"
"288","-0.18291544914245605","-0.18291544914245605","-0.18291544914245605","3454","3454","3454"
"289","-0.010898392647504807","-0.010898392647504807","-0.010898392647504807","3466","3466","3466"
"290","-0.11394558846950531","-0.11394558846950531","-0.11394558846950531","3478","3478","3478"
"291","0.2685874104499817","0.2685874104499817","0.2685874104499817","3490","3490","3490"
"292","-0.216889888048172","-0.216889888048172","-0.216889888048172","3502","3502","3502"
"293","0.27067112922668457","0.27067112922668457","0.27067112922668457","3514","3514","3514"
"294","2.183195114135742","2.183195114135742","2.183195114135742","3526","3526","3526"
"295","1.3690476417541504","1.3690476417541504","1.3690476417541504","3538","3538","3538"
"296","2.2395832538604736","2.2395832538604736","2.2395832538604736","3550","3550","3550"
"297","-0.19341856241226196","-0.19341856241226196","-0.19341856241226196","3562","3562","3562"
"298","0.5022300481796265","0.5022300481796265","0.5022300481796265","3574","3574","3574"
"299","0.097098208963871","0.097098208963871","0.097098208963871","3586","3586","3586"
"300","0.15968231856822968","0.15968231856822968","0.15968231856822968","3598","3598","3598"
"301","-0.09757357835769653","-0.09757357835769653","-0.09757357835769653","3610","3610","3610"
"302","0.3520585298538208","0.3520585298538208","0.3520585298538208","3622","3622","3622"
"303","2.3965773582458496","2.3965773582458496","2.3965773582458496","3634","3634","3634"
"304","-0.15951555967330933","-0.15951555967330933","-0.15951555967330933","3646","3646","3646"
"305","2.227891206741333","2.227891206741333","2.227891206741333","3658","3658","3658"
"306","0.10898865759372711","0.10898865759372711","0.10898865759372711","3670","3670","3670"
"307","-0.04128748178482056","-0.04128748178482056","-0.04128748178482056","3682","3682","3682"
"308","-0.16980819404125214","-0.16980819404125214","-0.16980819404125214","3694","3694","3694"
"309","-0.0859375149011612","-0.0859375149011612","-0.0859375149011612","3706","3706","3706"
"310","0.1817956268787384","0.1817956268787384","0.1817956268787384","3718","3718","3718"
"311","2.1081912517547607","2.1081912517547607","2.1081912517547607","3730","3730","3730"
"312","0.06227678060531616","0.06227678060531616","0.06227678060531616","3742","3742","3742"
"313","-0.2703325152397156","-0.2703325152397156","-0.2703325152397156","3754","3754","3754"
"314","-0.35792821645736694","-0.35792821645736694","-0.35792821645736694","3766","3766","3766"
"315","-0.24779388308525085","-0.24779388308525085","-0.24779388308525085","3778","3778","3778"
"316","-0.3630666136741638","-0.3630666136741638","-0.3630666136741638","3790","3790","3790"
"317","0.0398065485060215","0.0398065485060215","0.0398065485060215","3802","3802","3802"
"318","0.31149908900260925","0.31149908900260925","0.31149908900260925","3814","3814","3814"
"319","-0.03688463196158409","-0.03688463196158409","-0.03688463196158409","3826","3826","3826"
